variable,where,conversation_id,entry_id,script,op,ja
RiziaDLCText.WarAllies,0x010000520007B13A,431,360,userScript,=,トラス家や
RiziaDLCText.WarAllies,0x010000520007B151,431,368,userScript,=,正規軍や
RiziaDLCText.WarAllies,0x010000520007B168,431,374,userScript,=,ごく
RiziaDLCText.PalesWarAlly,0x010000520007B176,431,378,userScript,=,アクセルとヴィナはパレスから兵と激励を送ってくれた。
RiziaDLCText.ZilleWarAlly,0x010000520007B181,431,382,userScript,=,ジルの人々もあなたと共に戦った。
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE00006942,431,469,userScript,=,ヴルヘック教徒、ダストヌリティ信徒、ゴルコンド主義者
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE00006947,431,470,userScript,=,ヴルヘック教徒とダストヌリティ信徒
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE0000694D,431,471,userScript,=,ゴルコンド主義者を含むヴルヘック教徒
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE00006952,431,472,userScript,=,ヴルヘック教徒
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE00006965,431,479,userScript,=,ダストヌリティ信徒とゴルコンド主義者
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE0000696A,431,480,userScript,=,ダストヌリティ信徒
RiziaDLCText.CivilWar_ReligiousAllies,0x010000BE00006975,431,484,userScript,=,ゴルコンド主義者
RiziaDLCText.JubileeDelegation,0x0100006A0001A57C,432,111,userScript,=,GRACE
RiziaDLCText.JubileeDelegation,0x0100006A0001A581,432,112,userScript,=,インテルメルコプム
RiziaDLCText.JubileeDelegation,0x0100006A0001A5A3,432,116,userScript,=,国際連盟とインテルメルコプム
RiziaDLCText.JubileeDelegation,0x0100006A0001A5AE,432,120,userScript,=,国際連盟とGRACE
RiziaDLCText.JubileeDelegation,0x0100006A0001A5B8,432,121,userScript,=,国際連盟
RiziaDLCText.JubileeDelegation,0x010000BE00006076,432,655,userScript,=,各国
RiziaDLCText.JubileeDelegation,0x010000BE00006181,432,707,userScript,=,国際連盟とアルカシア条約機構
RiziaDLCText.JubileeDelegation,0x010000BE0000618C,432,711,userScript,=,アルカシア条約機構
RiziaDLCText.GRACECountries,0x010000520005BFD8,433,726,userScript,=,ヴェンドネサム連合
RiziaDLCText.GRACECountries,0x010000520005BFDD,433,727,userScript,=,
RiziaDLCText.GRACECountries,0x010000520005C017,433,735,userScript,=,リジア王国、パレス大公国
RiziaDLCText.GRACECountries,0x010000520005C01C,433,736,userScript,=,リジア王国、パレス大公国、ヴェンドネサム連合
RiziaDLCText.IntermerkopumCountries,0x0100005200053B61,439,805,userScript,=,パレスとヴェーレン
RiziaDLCText.IntermerkopumCountries,0x0100005200053B66,439,806,userScript,=,パレスとデルディア
RiziaDLCText.IntermerkopumCountries,0x0100005200053B71,439,810,userScript,=,パレスとモレラ
RiziaDLCText.IntermerkopumCountries,0x0100005200053B88,439,817,userScript,=,デルディアとヴェーレン
RiziaDLCText.IntermerkopumCountries,0x0100005200053B8D,439,818,userScript,=,デルディアとモレラ
RiziaDLCText.IntermerkopumCountries,0x0100005200053B92,439,819,userScript,=,ヴェーレンとモレラ
RiziaDLCText.IntermerkopumCountries,0x0100005200053BBA,439,833,userScript,=,パレス、ヴェーレン、デルディア
RiziaDLCText.IntermerkopumCountries,0x0100005200053BBF,439,834,userScript,=,パレス、ヴェーレン、モレラ
RiziaDLCText.IntermerkopumCountries,0x0100005200053BC4,439,835,userScript,=,パレス、モレラ、デルディア
RiziaDLCText.IntermerkopumCountries,0x0100005200053BCF,439,836,userScript,=,ヴェーレン、モレラ、デルディア
RiziaDLCText.IndependentZille,0x0100009A0000E720,441,273,userScript,=,ゴルコンド主義聖護領
RiziaDLCText.IndependentZille,0x0100009A0000E724,441,274,userScript,=,ジル・ヴルヘック共和国
RiziaDLCText.IndependentZille,0x0100009A0000E728,441,275,userScript,=,ジル・ブルディア共和国
RiziaDLCText.IndependentZille,0x0100009A0000E72C,441,276,userScript,=,ジル解放戦線
RiziaDLCText.IndependentZille,0x0100009A0000E69A,448,317,userScript,=,ゴルコンド主義聖護領
RiziaDLCText.IndependentZille,0x0100009A0000E69F,448,318,userScript,=,ジル・ヴルヘック共和国
RiziaDLCText.IndependentZille,0x0100009A0000E6A3,448,319,userScript,=,ジル・ブルディア共和国
RiziaDLCText.IndependentZille,0x0100009A0000E6A7,448,320,userScript,=,ジル解放戦線
RiziaDLCText.PipelineOutcome_RH,0x010000C300001C83,449,1219,userScript,=,この打撃にもかかわらず、国王陛下は、パイプラインの機能回復に向けて特別対策班を動員し、すでに修理を進めていると国民に請け合った。
RiziaDLCText.PipelineOutcome_RH,0x010000C300001C88,449,1220,userScript,=,この打撃にもかかわらず、国王陛下は、パイプラインの機能回復に向けて特別対策班を動員し、すでに修理を進めていると国民に請け合った。また国王はルンブルク王国に協力を求め、同国は修理費の負担を快く申し出た。両国の絆はさらに強まった。
RiziaDLCText.PipelineOutcome_RH,0x010000C300001C8D,449,1221,userScript,=,この打撃にもかかわらず、国王陛下は、パイプラインの機能回復に向けて特別対策班を動員し、すでに修理を進めていると国民に請け合った。
RiziaDLCText.PipelineOutcome_RH,0x010000C300001C92,449,1222,userScript,=,この打撃にもかかわらず、国王陛下は、パイプラインの機能回復に向けて特別対策班を動員し、すでに修理を進めていると国民に請け合った。
RiziaDLCText.PipelineOutcome_V,0x010000C300016B7B,449,1708,userScript,=,迅速な修理の約束が出てきたのは、災害が起きてからのことであり、対応に動員されたのはいわゆる「特別対策班」である。注目すべきは修理費をルンブルク王国が負担する点で、国王が見返りにどんな譲歩を約束したのか、外国勢力がリジアの内政に及ぼす影響力が強まっているのではないかと疑問の声が上がっている。
RiziaDLCText.PipelineOutcome_V,0x010000C300016B80,449,1709,userScript,=,迅速な修理の約束が出てきたのは、災害が起きてからのことであり、対応に動員されたのはいわゆる「特別対策班」である。
RiziaDLCText.PipelineOutcome_RH,0x010000520007C7C4,449,1710,userScript,=,国王陛下は、予算が許しだい修理に着手すると約束している。
RiziaDLCText.PipelineOutcome_V,0x010000520007C7C4,449,1710,userScript,=,しかも、損傷を修理する計画は何も発表されていない。
RiziaDLCText.TheocracyFashion,0x0100009A0000F0E3,457,51,userScript,=,輝く甲冑
RiziaDLCText.TheocracyFashion,0x0100009A0000F0E7,457,52,userScript,=,体にぴったりした軍服
RiziaDLCText.TheocracyFashion,0x0100009A0000F0EB,457,53,userScript,=,裾の長い流れるようなローブ
RiziaDLCText.TheocracyFashion,0x0100009A0000F0EF,457,54,userScript,=,非の打ちどころなく仕立てられたスーツ
RiziaDLCText.TheocracyName,0x0100009A0000F67D,457,234,userScript,=,リジア・ヴルヘック王国
RiziaDLCText.TheocracyName,0x0100009A0000F682,457,235,userScript,=,リジア神聖主権国
RiziaDLCText.TheocracyName,0x0100009A0000F687,457,236,userScript,=,リジア聖神権国
RiziaDLCText.PrimeMinister,0x0100009E00009B1F,545,163,userScript,=,マヌス・サゾン
RiziaDLCText.PrimeMinister,0x0100009E00009B25,545,164,userScript,=,ダリア・デ・ラーヴァ
RiziaDLCText.PrimeMinister,0x010000B800012032,545,241,userScript,=,アダルフォ・ソテラート
RiziaDLCText.News_Gossip_Birthday_KingsPartner,0x010000BE00000C54,554,453,userScript,=,と、子宝に恵まれた最愛の王妃ルシータ
RiziaDLCText.News_Gossip_Birthday_KingsPartner,0x010000BE00000C5B,554,454,userScript,=,と、新たに明らかになった愛人パベル・アドリア
RiziaDLCText.News_Gossip_Birthday_Protesters,0x010000BE00000C6E,554,461,userScript,=,外に集まった興ざめな群衆でさえ、この夜の催しに水を差すことはできなかった。
RiziaDLCText.News_RH_Birthday_War,0x010000BE00000CA0,554,469,userScript,=,タデウス・アザロ将軍でさえ、パレスの戦線から束の間の休息を取って出席した。
RiziaDLCText.News_RH_Birthday_Protesters,0x010000BE00000CAC,554,473,userScript,=,国王陛下を引きずり下ろそうとする恩知らずの反逆者どもに対しても、王家が揺るがずにあらんことを。
RiziaDLCText.News_Turn10_Birthday_RemovedTaxes,0x010000BE00000D08,554,489,userScript,=,地主の所有地と相続財産
RiziaDLCText.News_Turn10_Birthday_RemovedTaxes,0x010000BE00000D0D,554,490,userScript,=,地主の所有地
RiziaDLCText.News_Turn10_Birthday_RemovedTaxes,0x010000BE00000D12,554,491,userScript,=,相続財産
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C4000001DC,559,626,userScript,=,トラス家・アザロ家・サゾン家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C4000001E1,559,627,userScript,=,トラス家とアザロ家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C4000001E6,559,628,userScript,=,アザロ家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C4000001EB,559,629,userScript,=,サゾン家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C4000001FC,559,636,userScript,=,トラス家とサゾン家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C400000201,559,637,userScript,=,トラス家
RiziaDLCText.BirthdayGathering_StrikeTarget,0x010000C40000020B,559,641,userScript,=,アザロ家とサゾン家
RiziaDLCText.NewPalesHoliday,0x010000BE000068C2,577,950,userScript,=,パレス再統一記念日
RiziaDLCText.RustyArrestReason,0x01000052000655D9,591,367,userScript,=,戦時下のリジア王室金鉱の一斉接収
RiziaDLCText.RustyFate,0x01000052000655F2,591,372,userScript,=,退任
RiziaDLCText.GoldenGuardUpdate,0x01000052000692AE,592,709,userScript,=,ロムス・トラス王の治世下で、近衛兵は師団規模に拡大され、任務も広げられた。のちに特別な宗教部隊「ヴルヘックの守護者」が加えられた。
RiziaDLCText.GoldenGuardUpdate,0x01000052000692BF,592,713,userScript,=,ロムス・トラス王の治世下で、近衛兵には新たな宗教部隊「ヴルヘックの守護者」が加わった。
RiziaDLCText.EpiloguePM,0x010000C800003ACB,597,86,userScript,=,ダリア
RiziaDLCText.EpiloguePM,0x010000C800003AD9,597,90,userScript,=,アダルフォ
RiziaDLCText.EpiloguePM,0x010000C800003ADE,597,91,userScript,=,マヌス
