key,scene,ja
Prologue Choices,"sordland, rizia",プロローグの選択
"Minimize/Unminimize/
Open Profile Page","sordland, rizia","最小化／元に戻す／
プロフィールを開く"
Ad Privacy Options,"sordland, rizia",広告のプライバシー設定
Delete Personal Data,"sordland, rizia",個人データを削除
New Game,"sordland, rizia",ニューゲーム
Achievements,"sordland, rizia",実績
Post-processing,"sordland, rizia",ポストプロセス
Load,"sordland, rizia",ロード
Welcome to Suzerain,"sordland, rizia",Suzerain へようこそ
email,"sordland, rizia",メールアドレス
Password,"sordland, rizia",パスワード
Store,"sordland, rizia",ストア
Analytics Consent,"sordland, rizia",分析への同意
Daily Rewards,"sordland, rizia",デイリー報酬
Account Settings,"sordland, rizia",アカウント設定
Torpor Mode,"sordland, rizia",トーパーモード
No Internet Connection,"sordland, rizia",インターネットに接続されていません
"""Suzerain"" is a work of fiction and any resemblance to actual persons, living or dead, or actual events is purely coincidental. While the game may illustrate various perspectives on political subjects, these depictions are purely for artistic exploration and do not indicate an endorsement or promotion of these viewpoints by the creators. 

This game employs mature themes including instances of violence, death and suicide as part of its narrative.","sordland, rizia","『Suzerain』はフィクションであり、実在の人物（存命・故人を問わず）や実際の出来事との類似はすべて偶然です。本作は政治的な主題についてさまざまな視点を描いていますが、それらは純粋に芸術的な探求のためのものであり、制作者がそうした見解を支持・推奨していることを示すものではありません。 

本作は物語の一部として、暴力・死・自殺の描写を含む成人向けの主題を扱っています。"
Saved on a different version.,"sordland, rizia",別のバージョンで保存されています。
Zoom In,"sordland, rizia",ズームイン
Credits,"sordland, rizia",クレジット
Re-Enter Password,"sordland, rizia",パスワードを再入力
This mode disables manual saving and enables achievements. You can only turn it off after completing the story once.,"sordland, rizia",このモードでは手動セーブができなくなり、実績が有効になります。物語を一度クリアするまでオフにできません。
Sign up with Google,"sordland, rizia",Google で登録
Torpor Games Privacy Policy,"sordland, rizia",Torpor Games プライバシーポリシー
E-Mail Address,"sordland, rizia",メールアドレス
CONTINUE,"sordland, rizia",続きから
Link Account,"sordland, rizia",アカウントを連携
Loading...,"sordland, rizia",読み込み中...
Next Token/Panel,"sordland, rizia",次の駒／パネル
Forgot Password?,"sordland, rizia",パスワードをお忘れですか？
Delete Torpor Account,"sordland, rizia",Torpor アカウントを削除
CAP REACHED,"sordland, rizia",上限に達しました
Font Size,"sordland, rizia",文字の大きさ
Skip Prologue,"sordland, rizia",プロローグを飛ばす
Font,"sordland, rizia",フォント
"By using this service you agree to the Torpor Games
<link=""https://www.torporgames.com/""><color=#D9D6D6><u>Terms of Service</color></u></link> and <link=""https://www.torporgames.com/""><color=#D9D6D6><u>Privacy Policy</color></u></link>","sordland, rizia","このサービスを利用すると、Torpor Games の
<link=""https://www.torporgames.com/""><color=#D9D6D6><u>利用規約</color></u></link>と<link=""https://www.torporgames.com/""><color=#D9D6D6><u>プライバシーポリシー</color></u></link>に同意したものとみなされます"
EXPERIENCE,"sordland, rizia",経験値
"Level up by earning XP to unlock rewards and story points. 

Gain XP through completing actions and achievements in the game.","sordland, rizia","経験値を稼いでレベルを上げると、報酬とストーリーポイントが手に入ります。 

経験値はゲーム内の行動や実績を達成すると得られます。"
"By using this service you agree to the Torpor Games
<link=""https://www.torporgames.com/terms-of-service""><color=#D9D6D6><u>Terms of Service</color></u></link> and <link=""https://www.torporgames.com/privacy-policy""><color=#D9D6D6><u>Privacy Policy</color></u></link>","sordland, rizia","このサービスを利用すると、Torpor Games の
<link=""https://www.torporgames.com/terms-of-service""><color=#D9D6D6><u>利用規約</color></u></link>と<link=""https://www.torporgames.com/privacy-policy""><color=#D9D6D6><u>プライバシーポリシー</color></u></link>に同意したものとみなされます"
PURCHASE,"sordland, rizia",購入
Load Archetype,"sordland, rizia",人物像を読み込む
Window Mode,"sordland, rizia",画面モード
Secondary Language (E),"sordland, rizia",第二言語 (E)
Link Account with Email,"sordland, rizia",メールアドレスでアカウントを連携
Reset Password,"sordland, rizia",パスワードを再設定
Language,"sordland, rizia",言語
New,"sordland, rizia",新着
Leader,"sordland, rizia",指導者
Log Out,"sordland, rizia",ログアウト
SFX Volume,"sordland, rizia",効果音の音量
new email address,"sordland, rizia",新しいメールアドレス
code,"sordland, rizia",コード
Lighting,"sordland, rizia",ライティング
Reward:,"sordland, rizia",報酬：
Rizia Completed,"sordland, rizia",リジア クリア済み
Back to Login,"sordland, rizia",ログインに戻る
STORY POINTS,"sordland, rizia",ストーリーポイント
Music Volume,"sordland, rizia",音楽の音量
Options,"sordland, rizia",設定
Incorrect email or password.,"sordland, rizia",メールアドレスまたはパスワードが違います。
Continue with Apple,"sordland, rizia",Apple で続ける
"Loading ad…","sordland, rizia","広告を読み込み中…"
Story Selection,"sordland, rizia",物語の選択
SELECT,"sordland, rizia",選択
LOAD,"sordland, rizia",ロード
Overview,"sordland, rizia",概要
Experience,"sordland, rizia",経験値
Set Password,"sordland, rizia",パスワードを設定
Restore Defaults,"sordland, rizia",初期設定に戻す
Graphics,"sordland, rizia",グラフィック
Load Save,"sordland, rizia",セーブをロード
profile name,"sordland, rizia",プロフィール名
Delete Analytics Data,"sordland, rizia",分析データを削除
Error,"sordland, rizia",エラー
Shadows,"sordland, rizia",影
New Version Available!,"sordland, rizia",新しいバージョンがあります！
Map Movement/Scroll,"sordland, rizia",マップの移動／スクロール
Exit,"sordland, rizia",終了
New Game Name,"sordland, rizia",新しいセーブの名前
SAVING...,"sordland, rizia",保存中...
Reconnect,"sordland, rizia",再接続
Create Account,"sordland, rizia",アカウントを作成
Watch ads to earn Story Points. Use them to advance in the story.,"sordland, rizia",広告を見てストーリーポイントを獲得し、物語を進めるのに使えます。
V Sync,"sordland, rizia",垂直同期
ROTATE,"sordland, rizia",回転
Profile Details,"sordland, rizia",プロフィールの詳細
CHOOSE A PROFILE PICTURE,"sordland, rizia",プロフィール画像を選ぶ
Profile,"sordland, rizia",プロフィール
Torpor Mode Disabled,"sordland, rizia",トーパーモード オフ
"Are you sure you want to delete Torpor Games Account?
You will lose your game backups and any associated data.","sordland, rizia","Torpor Games アカウントを削除してよろしいですか？
ゲームのバックアップと関連するデータはすべて失われます。"
You must complete the Main Story once to disable Torpor Mode.,"sordland, rizia",トーパーモードをオフにするには、本編を一度クリアする必要があります。
"You are currently playing as a guest.
Login to use your Suzerain profile across devices.","sordland, rizia","現在ゲストとしてプレイしています。
ログインすると、Suzerain のプロフィールを複数の端末で使えます。"
ACHIEVEMENTS:,"sordland, rizia",実績：
Sync Achievements,"sordland, rizia",実績を同期
Done,"sordland, rizia",完了
Textures,"sordland, rizia",テクスチャ
Import from existing completed save,"sordland, rizia",クリア済みのセーブから読み込む
Accept,"sordland, rizia",同意する
Target FPS,"sordland, rizia",目標FPS
Rizia,"sordland, rizia",リジア
Decline,"sordland, rizia",同意しない
Choose Your Own,"sordland, rizia",自分で選ぶ
Edit Username,"sordland, rizia",ユーザー名を編集
Sign up with Apple,"sordland, rizia",Apple で登録
"To access this page, please reconnect to the internet.","sordland, rizia",このページを開くには、インターネットに再接続してください。
RECENT ACTIVITY,"sordland, rizia",最近の活動
Map Switch/Open Login Page,"sordland, rizia",マップ切り替え／ログインページを開く
Collections,"sordland, rizia",コレクション
Warning,"sordland, rizia",警告
Saved on a different version,"sordland, rizia",別のバージョンで保存されています
START STORY,"sordland, rizia",物語を始める
"UI Scaling
","sordland, rizia","UIの拡大率
"
Render Scale,"sordland, rizia",レンダースケール
Receive news and updates from Torpor Games,"sordland, rizia",Torpor Games からのお知らせと更新情報を受け取る
BACK,"sordland, rizia",戻る
Apply,"sordland, rizia",適用
"If the email is found, you will receive an email shortly.","sordland, rizia",メールアドレスが登録されていれば、まもなくメールが届きます。
Anti-Aliasing,"sordland, rizia",アンチエイリアス
Restore Purchases,"sordland, rizia",購入を復元
Choose the main character archetype for the parallel story. This will influence the story you are starting.,"sordland, rizia",パラレルストーリーの主人公の人物像を選んでください。これから始める物語に影響します。
Edit Email,"sordland, rizia",メールアドレスを編集
Latest News,"sordland, rizia",最新情報
Typewriter,"sordland, rizia",タイプライター表示
Story Points,"sordland, rizia",ストーリーポイント
Torpor Mode Enabled,"sordland, rizia",トーパーモード オン
Sordland,"sordland, rizia",ソードランド
Master Volume,"sordland, rizia",全体の音量
Info,"sordland, rizia",情報
END,"sordland, rizia",終了
Skip Read Dialogue Text,"sordland, rizia",既読の会話を飛ばす
Warn,"sordland, rizia",警告
You have previously signed in with ...,"sordland, rizia",以前は次の方法でログインしていました…
New E-Mail Address,"sordland, rizia",新しいメールアドレス
Click to Login,"sordland, rizia",クリックしてログイン
Resolution,"sordland, rizia",解像度
Connections,"sordland, rizia",関係者
Air Strike,"sordland, rizia",空爆
Fortify,"sordland, rizia",陣地構築
Finish,"sordland, rizia",完了
Organization,"sordland, rizia",組織
Defence,"sordland, rizia",国防
MENU,"sordland, rizia",メニュー
Naval Invasion,"sordland, rizia",上陸作戦
Units,"sordland, rizia",部隊
Open Demographics,"sordland, rizia",人口構成を開く
History,"sordland, rizia",歴史
Toggle whether unit stats should be displayed or not,"sordland, rizia",部隊の能力値を表示するかを切り替える
Economy,"sordland, rizia",経済
STABILITY,"sordland, rizia",安定度
POLICIES,"sordland, rizia",政策
Codex,"sordland, rizia",索引
Diplomacy,"sordland, rizia",外交
Military,"sordland, rizia",軍事
Low,"sordland, rizia",低
Action Points,"sordland, rizia",行動ポイント
Journal,"sordland, rizia",日誌
Submarines,"sordland, rizia",潜水艦
Sign,"sordland, rizia",署名
SITUATIONS,"sordland, rizia",情勢
"Feel free to take notes here to help you remember important points throughout the story...
","sordland, rizia","物語の大事な点を覚えておくために、ここに自由にメモを取ってください…
"
High,"sordland, rizia",高
Current,"sordland, rizia",現在
Organisations,"sordland, rizia",組織
Load Last Checkpoint,"sordland, rizia",最後のチェックポイントをロード
Open City Information,"sordland, rizia",都市の情報を開く
Trade,"sordland, rizia",貿易
Reinforcements,"sordland, rizia",増援
No tooltips available.,"sordland, rizia",ツールチップはありません。
Invade a shore tile with a marine,"sordland, rizia",海兵隊で沿岸のマスに上陸する
Back to Codex,"sordland, rizia",索引に戻る
Currently Active:,"sordland, rizia",現在有効：
Decisions,"sordland, rizia",決定
There is already an active scene.,"sordland, rizia",すでに有効な場面があります。
Restart,"sordland, rizia",やり直す
Tanks,"sordland, rizia",戦車
There are no news available yet...,"sordland, rizia",まだニュースはありません…
Support,"sordland, rizia",支援
Deploying,"sordland, rizia",配備中
Continue,"sordland, rizia",続ける
Country Overview,"sordland, rizia",国の概要
Reset Showcase,"sordland, rizia",表示をリセット
Locations,"sordland, rizia",場所
Next,"sordland, rizia",次へ
STATUS,"sordland, rizia",状態
Tutorial,"sordland, rizia",チュートリアル
Construction,"sordland, rizia",建設
Equipment,"sordland, rizia",装備
CHANGES OVER TIME,"sordland, rizia",推移
Notes:,"sordland, rizia",メモ：
Toggle Unit Stats,"sordland, rizia",部隊の能力値の表示
Go to Location,"sordland, rizia",その場所へ移動
Train,"sordland, rizia",訓練
Notepad,"sordland, rizia",メモ帳
Fighter Planes,"sordland, rizia",戦闘機
News,"sordland, rizia",新聞
Select a Tile,"sordland, rizia",マスを選択
Order,"sordland, rizia",命令
Welfare,"sordland, rizia",福祉
Bomber Planes,"sordland, rizia",爆撃機
Ads,"sordland, rizia",広告
Cancel Training,"sordland, rizia",訓練を取り消す
DEPLOYED,"sordland, rizia",配備済み
Open Codex Entry,"sordland, rizia",索引の項目を開く
Enter save file name...,"sordland, rizia",セーブ名を入力...
Type here to search...,"sordland, rizia",ここに入力して検索...
Main Menu,"sordland, rizia",メインメニュー
"Clear
","sordland, rizia","消去
"
Hyperlinks,"sordland, rizia",リンク
Select to Deploy,"sordland, rizia",選んで配備
In Training,"sordland, rizia",訓練中
Codex Entry,"sordland, rizia",索引の項目
Religion,"sordland, rizia",宗教
Past Reports,"sordland, rizia",過去の報告
Previous Entry,"sordland, rizia",前の項目
Save,"sordland, rizia",セーブ
Manpower,"sordland, rizia",兵員
Air drop a paratrooper,"sordland, rizia",空挺兵を降下させる
Menu,"sordland, rizia",メニュー
Reset Deployment,"sordland, rizia",配備をやり直す
Air Support,"sordland, rizia",航空支援
Law,"sordland, rizia",法
AVAILABLE,"sordland, rizia",利用可能
Ethnicity,"sordland, rizia",民族
Demographics,"sordland, rizia",人口構成
Continue...,"sordland, rizia",続ける…
Characters,"sordland, rizia",人物
NOTABLE MEMBERS,"sordland, rizia",主な構成員
Attack,"sordland, rizia",攻撃
No decrees currently available in this category,"sordland, rizia",この分類で出せる法令は今はありません
Trucks,"sordland, rizia",輸送車
Return,"sordland, rizia",戻る
Paratrooper,"sordland, rizia",空挺兵
Next Entry,"sordland, rizia",次の項目
Enemy Turn,"sordland, rizia",敵のターン
Randomize,"sordland, rizia",ランダム
Links,"sordland, rizia",リンク
None available.,"sordland, rizia",ありません。
Deselect current unit,"sordland, rizia",選択中の部隊を解除
Deploy additional units,"sordland, rizia",部隊を追加で配備
Battle Ships,"sordland, rizia",戦艦
ENACTED,"sordland, rizia",施行済み
