key,scene,ja
Restore Defaults,mainmenu,初期設定に戻す
Graphics,mainmenu,グラフィック
Load Save,mainmenu,セーブをロード
profile name,mainmenu,プロフィール名
Delete Analytics Data,mainmenu,分析データを削除
Error,mainmenu,エラー
Shadows,mainmenu,影
New Version Available!,mainmenu,新しいバージョンがあります！
Map Movement/Scroll,mainmenu,マップの移動／スクロール
Exit,mainmenu,終了
New Game Name,mainmenu,新しいセーブの名前
SAVING...,mainmenu,保存中...
Reconnect,mainmenu,再接続
Create Account,mainmenu,アカウントを作成
Watch ads to earn Story Points. Use them to advance in the story.,mainmenu,広告を見てストーリーポイントを獲得し、物語を進めるのに使えます。
V Sync,mainmenu,垂直同期
ROTATE,mainmenu,回転
Profile Details,mainmenu,プロフィールの詳細
CHOOSE A PROFILE PICTURE,mainmenu,プロフィール画像を選ぶ
Profile,mainmenu,プロフィール
Torpor Mode Disabled,mainmenu,トーパーモード オフ
"Are you sure you want to delete Torpor Games Account?
You will lose your game backups and any associated data.",mainmenu,"Torpor Games アカウントを削除してよろしいですか？
ゲームのバックアップと関連するデータはすべて失われます。"
You must complete the Main Story once to disable Torpor Mode.,mainmenu,トーパーモードをオフにするには、本編を一度クリアする必要があります。
"You are currently playing as a guest.
Login to use your Suzerain profile across devices.",mainmenu,"現在ゲストとしてプレイしています。
ログインすると、Suzerain のプロフィールを複数の端末で使えます。"
ACHIEVEMENTS:,mainmenu,実績：
Sync Achievements,mainmenu,実績を同期
Done,mainmenu,完了
Textures,mainmenu,テクスチャ
Import from existing completed save,mainmenu,クリア済みのセーブから読み込む
Accept,mainmenu,同意する
Target FPS,mainmenu,目標FPS
Rizia,mainmenu,リジア
Decline,mainmenu,同意しない
Choose Your Own,mainmenu,自分で選ぶ
Edit Username,mainmenu,ユーザー名を編集
Sign up with Apple,mainmenu,Apple で登録
"To access this page, please reconnect to the internet.",mainmenu,このページを開くには、インターネットに再接続してください。
RECENT ACTIVITY,mainmenu,最近の活動
Map Switch/Open Login Page,mainmenu,マップ切り替え／ログインページを開く
Collections,mainmenu,コレクション
Warning,mainmenu,警告
Saved on a different version,mainmenu,別のバージョンで保存されています
START STORY,mainmenu,物語を始める
"UI Scaling
",mainmenu,"UIの拡大率
"
Render Scale,mainmenu,レンダースケール
Receive news and updates from Torpor Games,mainmenu,Torpor Games からのお知らせと更新情報を受け取る
BACK,mainmenu,戻る
Apply,mainmenu,適用
"If the email is found, you will receive an email shortly.",mainmenu,メールアドレスが登録されていれば、まもなくメールが届きます。
Anti-Aliasing,mainmenu,アンチエイリアス
Restore Purchases,mainmenu,購入を復元
Choose the main character archetype for the parallel story. This will influence the story you are starting.,mainmenu,パラレルストーリーの主人公の人物像を選んでください。これから始める物語に影響します。
Edit Email,mainmenu,メールアドレスを編集
Latest News,mainmenu,最新情報
Typewriter,mainmenu,タイプライター表示
Story Points,mainmenu,ストーリーポイント
Torpor Mode Enabled,mainmenu,トーパーモード オン
Sordland,mainmenu,ソードランド
Master Volume,mainmenu,全体の音量
Info,mainmenu,情報
END,mainmenu,終了
Skip Read Dialogue Text,mainmenu,既読の会話を飛ばす
Warn,mainmenu,警告
You have previously signed in with ...,mainmenu,以前は次の方法でログインしていました…
New E-Mail Address,mainmenu,新しいメールアドレス
Click to Login,mainmenu,クリックしてログイン
Resolution,mainmenu,解像度
