en,ja,category,tier
Castellanus,カステラヌス,姓,tier1
Central Bank of Sordland,ソードランド中央銀行,ソードランドの組織,tier1
Cerberus International,ケルベロス・インターナショナル,国際機関・企業,tier1
Chief Justice,最高裁長官,役職,tier1
Chief of Staff,首席補佐官,役職,tier1
Ciara Walda,キアラ・ワルダ,人名,tier1
Circas,シルカス,姓,tier1
City State of Iza,イザ都市国家,国名（正式）,tier1
Clavin,クラヴィン,姓,tier1
Communist Party of Sordland,ソードランド共産党,ソードランドの組織,tier1
Confederacy of Yarktralis,ヤークトラリス連合,国名（正式）,tier1
Conriat,コンリアト,ソードランドの地名,tier1
Contana,コンタナ,国名（略称）,tier1
Contanan,コンタナ人,国民・形容,tier1
Contanan Security Pact,コンタナ条約機構,国際機関・企業,tier1
Crimsrad,クリムスラード,ソードランドの地名,tier1
Curtan Leste,クルタン・レステ,人名,tier1
Dalton,ダルトン,姓,tier1
Daria de Rava,ダリア・デ・ラーヴァ,人名,tier1
Dastnurity,ダストヌリティ派,思想・宗教,tier1
Datefort,デイトフォート,ソードランドの地名,tier1
Deana,ディアナ,人名,tier1
Deana Rayne,ディアナ・レイン,人名,tier1
Deivid Wisci,デイヴィド・ウィスキ,人名,tier1
Deivid Wisci (R),デイヴィド・ウィスキ,人名,tier1
Democratic Republic of Valgsland,ヴァルグスランド民主共和国,国名（正式）,tier1
Democratic Zanza,民主ザンザ,国名（正式）,tier1
Denis Stahler,デニス・シュターラー,人名,tier1
Derdia,デルディア,国名（略称）,tier1
Deyr,デイル,ソードランドの地名,tier1
Didier Meye,ディディエ・メイエ,人名,tier1
Drazon Citadel,ドラゾン城塞,リジアの地名,tier1
Duke of Pales,パレス大公,役職・肩書,tier1
Dwight Walker,ドワイト・ウォーカー,人名,tier1
Dwight Walker (R),ドワイト・ウォーカー,人名,tier1
Economic Resource Extraction Area,経済資源採掘区域,国際機関・企業,tier1
Economic and Cultural Organization,経済文化機構,国際機関・企業,tier1
Edith Agnoc,エディット・アグノク,人名,tier1
Edmonds,エドモンズ,姓,tier1
Ejall,エジャル,姓,tier1
Elena,エレナ,人名,tier1
Elena Werner,エレナ・ヴェルナー,人名,tier1
Emmerich Hegel,エメリッヒ・ヘーゲル,人名,tier1
Emmerich Hegel (R),エメリッヒ・ヘーゲル,人名,tier1
Ephraim Nines,エフライム・ナインズ,人名,tier1
Ephraim Nines (R),エフライム・ナインズ,人名,tier1
Erdmarg,エルドマルグ,国名（略称）,tier1
Erlory,エルローリー,ソードランドの地名,tier1
Erzaren,エルザレン,ソードランドの地名,tier1
Esquibel,エスキベル,姓,tier1
Estela Toras,エステラ・トラス,人名,tier1
Estord,エストード,ソードランドの地名,tier1
Evelyn Vectern,エヴェリン・ベクターン,人名,tier1
Ewald Alphonso,エヴァルト・アルフォンソ,人名,tier1
Ewald Alphonso (R),エヴァルト・アルフォンソ,人名,tier1
F.S.R. of United Contana,コンタナ社会主義共和国連邦,国名（正式）,tier1
FC Anrica,FCアンリカ,ソードランドの組織,tier1
FC Gelsord,FCゲルソード,ソードランドの組織,tier1
FC Porte Drazon,FCポルテ・ドラゾン,リジアの組織,tier1
Federation of Anrakan Isles,アンラカン諸島連邦,国名（正式）,tier1
Fetih Ejall,フェティ・エジャル,人名,tier1
First Lady of Sordland,ソードランド大統領夫人,役職・肩書,tier1
Folce Dator,フォルチェ・ダトール,リジアの地名,tier1
Former Vice President,元副大統領,役職,tier1
Fort Ales,アレス要塞,リジアの地名,tier1
Franc,フランク,人名,tier1
Franc Rayne,フランク・レイン,人名,tier1
Frens Ricter,フレンス・リクター,人名,tier1
Galade,ガラド,姓,tier1
Galmland,ガルムランド,国名（略称）,tier1
Garaci,ガラチ,姓,tier1
Gasom,ガソム,ソードランドの組織,tier1
Gelsland,ゲルスランド,ソードランドの地名,tier1
Gelsord,ゲルソード,ソードランドの地名,tier1
Gendarmerie,国家憲兵隊,ソードランドの組織,tier1
Geopolitico,『ジオポリティコ』,国際機関・企業,tier1
Gloria Tory,グロリア・トーリー,人名,tier1
Golcondism,ゴルコンド主義,思想・宗教,tier1
Golden Guard,近衛兵,リジアの組織,tier1
Gordion,ゴルディオン,姓,tier1
Graf,グラーフ,姓,tier1
Grand Duchy of Pales,パレス大公国,国名（正式）,tier1
Grand National Assembly,大国民議会,ソードランドの組織,tier1
Grand Vizier,宰相,役職,tier1
Grand Wiseman,大賢者,役職・肩書,tier1
Greater Holsord,大ホルソード,ソードランドの地名,tier1
Grecer,グレツェル,姓,tier1
Greiser,グライザー,姓,tier1
Grey Strait,グレイ海峡,ソードランドの地名,tier1
Gruni,グルニ,ソードランドの地名,tier1
Gulf of Conriat,コンリアト湾,ソードランドの地名,tier1
Gulf of Nal,ナル湾,リジアの地名,tier1
Gulf of Nargis,ナルギス湾,ソードランドの地名,tier1
Gulf of Rika,リカ湾,ソードランドの地名,tier1
Gus Manger,ガス・マンガー,人名,tier1
Gus Manger (R),ガス・マンガー,人名,tier1
Gustaf Souter,グスタフ・サウター,人名,tier1
Havas,ハヴァス,リジアの地名,tier1
Hawker,ホーカー,姓,tier1
Hegel,ヘーゲル,姓,tier1
Heljiland,ヘルジランド,ソードランドの地名,tier1
Heljiport,ヘルジポート,ソードランドの地名,tier1
Heron Garaci,ヘロン・ガラチ,人名,tier1
Hill of Pride,誇りの丘,ソードランドの地名,tier1
Holl,ホル,姓,tier1
Holsord,ホルソード,ソードランドの地名,tier1
Holsord State University,ホルソード国立大学,ソードランドの組織,tier1
Holstron,ホルストロン,姓,tier1
Holy Federation of Free Cities,自由都市神聖連邦,国名（正式）,tier1
Horten,ホルテン,姓,tier1
House Azaro,アザロ家,リジアの組織,tier1
House Sazon,サゾン家,リジアの組織,tier1
House Toras,トラス家,リジアの組織,tier1
House of Delegates,代議院,リジアの組織,tier1
Hubertus Toras,フベルトゥス・トラス,人名,tier1
Hugo Toras,ウーゴ・トラス,人名,tier1
Immediatism,即時主義,思想・宗教,tier1
Independent Zille,独立ジル,国名（正式）,tier1
Intermerkopum,インテルメルコプム,リジアの組織,tier1
Intermerkopum Alliance,インテルメルコプム同盟,リジアの組織,tier1
International Trade Zone,国際商業区,国際機関・企業,tier1
Iosef Lancea,ヨセフ・ランチェア,人名,tier1
Isabel Edmonds,イザベル・エドモンズ,人名,tier1
Iza,イザ,リジアの地名,tier1
Jales,ジャレス,リジアの地名,tier1
Jen,ジェン,ソードランドの地名,tier1
Jorga Azmal,ヨルガ・アズマル,人名,tier1
Karl Greiser,カール・グライザー,人名,tier1
Karlos Marcia,カルロス・マルシア,人名,tier1
Katarina Horten,カタリナ・ホルテン,人名,tier1
Kesaro Kibener,ケサロ・キベナー,人名,tier1
Kibener,キベナー,姓,tier1
Kilsaren,キルサレン,ソードランドの地名,tier1
Kingdom of Erdmarg,エルドマルグ王国,国名（正式）,tier1
Kingdom of Rizia,リジア王国,国名（正式）,tier1
Kingdom of Rumburg,ルンブルク王国,国名（正式）,tier1
Kingdom of Sordland,ソードランド王国,国名（正式）,tier1
Konrath Koronti,コンラート・コロンティ,人名,tier1
Koranelli Cartel,コラネッリ・カルテル,ソードランドの組織,tier1
Koronti,コロンティ,姓,tier1
Kruger,クルーガー,姓,tier1
Kyrute,キルート,国名（略称）,tier1
Labor Union of Sordland,ソードランド労働組合,ソードランドの組織,tier1
Lachaven,ラハベン,ソードランドの地名,tier1
Lancea,ランチェア,姓,tier1
Laren,ラレン,ソードランドの地名,tier1
Laurento Esquibel,ラウレント・エスキベル,人名,tier1
Leased Territory,租借地,国際機関・企業,tier1
Leiren,レイレン,ソードランドの地名,tier1
Leke,レケ,姓,tier1
Lena Toras,レナ・トラス,人名,tier1
Lenkurg,レンクルグ,ソードランドの地名,tier1
Leon Malenyev,レオン・マレニエフ,人名,tier1
Leon Malenyev (R),レオン・マレニエフ,人名,tier1
Leona Sazon,レオナ・サゾン,人名,tier1
LesPower,レスパワー,国際機関・企業,tier1
Lespia,レスピア,国名（略称）,tier1
Lespian,レスピア人,国民・形容,tier1
Lespian Protectionism,レスピア型保護主義,思想・宗教,tier1
Leste,レステ,姓,tier1
Library of Saint Wruhec,聖ヴルヘック図書館,ソードランドの地名,tier1
Lileas Graf,リリアス・グラーフ,人名,tier1
Livia Suno,リヴィア・スーノ,人名,tier1
Livingston,リヴィングストン,姓,tier1
Lorren,ローレン,ソードランドの地名,tier1
Lotherberg Group,ロザーバーグ・グループ,ソードランドの組織,tier1
Lucian Galade,ルシアン・ガラド,人名,tier1
Lucita Azaro,ルシータ・アザロ,人名,tier1
Maartin Van Hoorten,マールティン・ファン・ホールテン,人名,tier1
Maartin Van Hoorten (R),マールティン・ファン・ホールテン,人名,tier1
Magnus Cartus,マグヌス・カルトゥス団,ソードランドの組織,tier1
Malenyev,マレニエフ,人名,tier1
Malenyevism,マレニエフ主義,思想・宗教,tier1
Manger,マンガー,姓,tier1
Manoly Suheil,マノリー・スハイル,人名,tier1
Mansoun Leke,マンスン・レケ,人名,tier1
Manus Sazon,マヌス・サゾン,人名,tier1
Marcel Koronti,マルセル・コロンティ,人名,tier1
Marcel Koronti (R),マルセル・コロンティ,人名,tier1
Markanissa,マルカニッサ,国名（略称）,tier1
Markian Sea,マルキア海,ソードランドの地名,tier1
Maroon Palace,マルーン宮殿,ソードランドの地名,tier1
Mave Nortus,マーヴェ・ノルトゥス,リジアの地名,tier1
Maximism,マキシム主義,思想・宗教,tier1
Meftiem International Trade Zone,メフティエム国際貿易区,リジアの地名,tier1
Merlotia,メルロティア,ソードランドの地名,tier1
Mermi,メルミ,リジアの地名,tier1
Meye,メイエ,姓,tier1
Mikail Aven,ミカイル・アヴェン,人名,tier1
Miraclism,奇跡主義,思想・宗教,tier1
Monica,モニカ,人名,tier1
Monica Rayne,モニカ・レイン,人名,tier1
Monqiz,モンキズ,リジアの地名,tier1
Monqiz Maritime Heritage Complex,モンキズ海洋遺産群,リジアの地名,tier1
Montaklar,モンタクラル,リジアの地名,tier1
Montoro,モントーロ,姓,tier1
Morbel,モルベル,ソードランドの地名,tier1
Morella,モレラ,国名（略称）,tier1
Morgna,モルグナ,姓,tier1
Morna,モルナ,ソードランドの地名,tier1
Mr. President,大統領,役職,tier1
Nanta,ナンタ,リジアの地名,tier1
Narbel,ナルベル,ソードランドの地名,tier1
Nargis,ナルギス,ソードランドの地名,tier1
National Business Council,国民経済連盟,ソードランドの組織,tier1
National Front Party,国民戦線党,ソードランドの組織,tier1
Nedam Mining Group,ネダム鉱業公社,ソードランドの組織,tier1
Nefandes Vulturio,ネファンデス・ヴルトゥリオ,リジアの組織,tier1
Nelvisar,ネルヴィサル,リジアの地名,tier1
Nia Morgna,ニア・モルグナ,人名,tier1
Nibiya,ニビヤ,国名（略称）,tier1
Nines,ナインズ,姓,tier1
Nurist,ヌーリスト,思想・宗教,tier1
Nurist Republic of Derdia,デルディア・ヌーリスト共和国,国名（正式）,tier1
Nurity,ヌーリティ教,思想・宗教,tier1
Old Guard,守旧派,ソードランドの組織,tier1
Oligarchs,財閥,ソードランドの組織,tier1
Orso Hawker,オルソ・ホーカー,人名,tier1
Ovid Grecer,オヴィド・グレツェル,人名,tier1
Pabel Adria,パベル・アドリア,人名,tier1
Palantor Security Solutions,パランター・セキュリティ,国際機関・企業,tier1
Palas Rezna,パラス・レズナ,リジアの地名,tier1
Pales,パレス,国名（略称）,tier1
Pales Administrative District,パレス行政区,リジアの地名,tier1
Pales Province,パレス州,リジアの地名,tier1
Paskal Beniwoll,パスカル・ベニウォル,人名,tier1
Patricio Alvarez,パトリシオ・アルバレス,人名,tier1
Patricio Alvarez (R),パトリシオ・アルバレス,人名,tier1
People's Freedom and Justice Party,人民自由正義党,ソードランドの組織,tier1
People’s Freedom and Justice Party,人民自由正義党,ソードランドの組織,tier1
Petr Vectern,ペトル・ベクターン,人名,tier1
Petr Vectern (R),ペトル・ベクターン,人名,tier1
Plavo,プラヴォ,リジアの地名,tier1
Porte Drazon,ポルテ・ドラゾン,リジアの地名,tier1
Porte Drazon Observatory Tower,ポルテ・ドラゾン天文塔,リジアの地名,tier1
Princess of Rizia,リジア王女,役職・肩書,tier1
Prophet Wruhec,預言者ヴルヘック,思想・宗教,tier1
Province of Brenas,ブレナス州,リジアの地名,tier1
Province of Cardesse-Montaklar,カルデス＝モンタクラル州,リジアの地名,tier1
Province of Rizia Imperii,リジア・インペリイ州,リジアの地名,tier1
Province of Valenqiris,ヴァレンキリス州,リジアの地名,tier1
Qabiz,カビズ,リジアの地名,tier1
Qalus,カルス,リジアの地名,tier1
Qinal,キナル,国名（略称）,tier1
Queen-Mother of Rizia,リジア王太后,役職・肩書,tier1
Rayne,レイン,姓,tier1
Real Montaklar,レアル・モンタクラル,リジアの組織,tier1
Red Youth,赤旗青年団,ソードランドの組織,tier1
Reformed Nurity,ヌーリティ改革派,思想・宗教,tier1
Reformist Alliance,改革派連合,ソードランドの組織,tier1
Reformists,改革派,ソードランドの組織,tier1
Regional Alliance,地域同盟,国際機関・企業,tier1
Reinhart,ラインハルト,姓,tier1
Remaz,レマズ,リジアの地名,tier1
Remus Holstron,レムス・ホルストロン,人名,tier1
Republic of Agnolia,アグノリア共和国,国名（正式）,tier1
Republic of Arcasia,アルカシア共和国,国名（正式）,tier1
Republic of Kyrute,キルート共和国,国名（正式）,tier1
Republic of Lespia,レスピア共和国,国名（正式）,tier1
Republic of Morella,モレラ共和国,国名（正式）,tier1
Republic of Qinal,キナル共和国,国名（正式）,tier1
Republic of Sordland,ソードランド共和国,国名（正式）,tier1
Republic of Wehlen,ヴェーレン共和国,国名（正式）,tier1
Rezenid Paleaccis,レゼニド・パレアッキス,リジアの地名,tier1
Ribel,リベル,ソードランドの地名,tier1
Ribery,リベリー,ソードランドの地名,tier1
Rico Toras,リコ・トラス,人名,tier1
Ricter,リクター,姓,tier1
Rizia,リジア,国名（略称）,tier1
Rizia Imperii Province,リジア・インペリイ州,リジアの地名,tier1
Rizian,リジア人,国民・形容,tier1
Rizian Armed Forces,リジア軍,リジアの組織,tier1
Rizian Intelligence Service,リジア情報局,リジアの組織,tier1
Rizian Monarchism,リジア王党派,思想・宗教,tier1
Rizian National Coalition,リジア国民連合,リジアの組織,tier1
Rizian Navy,リジア海軍,リジアの組織,tier1
Rizian Oil and Gas,リジア石油ガス公社,リジアの組織,tier1
Rizian People's Party,リジア人民党,リジアの組織,tier1
Rizian Police Force,リジア警察,リジアの組織,tier1
Rizian Royal Air Force,リジア王立空軍,リジアの組織,tier1
Rizian Royal Gold,リジア王室金鉱,リジアの組織,tier1
Romus Toras,ロムス・トラス,人名,tier1
Royal Council,王室評議会,リジアの組織,tier1
Royal Herald,『王室ヘラルド』,リジアの組織,tier1
Rumburg,ルンブルク,国名（略称）,tier1
Rumburg Emerald Energy,ルンブルク・エメラルド・エナジー,国際機関・企業,tier1
Rummo-Sordish,ルンブルク・ソードランド,国民・形容,tier1
Russello,ルッセロ,人名,tier1
Russello Montoro,ルッセロ・モントーロ,人名,tier1
Rusty,ラスティ,人名,tier1
Rusty Montoro,ラスティ・モントーロ,人名,tier1
Sacker,サッカー,姓,tier1
Sal Ignacius,サル・イグナティウス,人名,tier1
Sallabes,サラベス,リジアの地名,tier1
Saltana,サルタナ,姓,tier1
Sarna,サルナ,ソードランドの地名,tier1
Sazon,サゾン,姓,tier1
Secret State Police,特別高等警察,ソードランドの組織,tier1
Serge Wolkner,セルジュ・ヴォルクナー,人名,tier1
Sevrio Castellanus,セヴリオ・カステラヌス,人名,tier1
Skinner Cartel,スキナー・カルテル,ソードランドの組織,tier1
Smolak,スモラク,姓,tier1
Soll,ソル,姓,tier1
Soll Dam,ソル・ダム,ソードランドの地名,tier1
Solles,ソレス,リジアの地名,tier1
Sollism,ソル主義,思想・宗教,tier1
Soradis,ソラディス,国名（略称）,tier1
Sordish,ソードランド人,国民・形容,tier1
Sordish Armed Forces,ソードランド軍,ソードランドの組織,tier1
Sordish Grid Corporation,ソードランド電力公社,ソードランドの組織,tier1
Sordish League of Women,ソードランド婦人連盟,ソードランドの組織,tier1
Sordish Petroleum,ソードランド石油,ソードランドの組織,tier1
Sordish Police Force,ソードランド警察,ソードランドの組織,tier1
Sordish State Corporation,ソードランド国営公社,ソードランドの組織,tier1
Sordland,ソードランド,国名（略称）,tier1
Sotelato,ソテラート,姓,tier1
Souter,サウター,姓,tier1
Speaker of the Assembly,議長,役職,tier1
Speaker of the House,下院議長,役職,tier1
Special Zone of Bergia,ベルギア特別区,ソードランドの組織,tier1
Stahler,シュターラー,姓,tier1
State Educators Corps,国民教育隊,ソードランドの組織,tier1
Su Omina,スー・オミナ,リジアの組織,tier1
Sudis Sea,スーディス海,リジアの地名,tier1
Suheil,スハイル,姓,tier1
Suno,スーノ,姓,tier1
Superpower Alliance,超大国同盟,国際機関・企業,tier1
Supreme Court,最高裁判所,ソードランドの組織,tier1
Symon Holl,シモン・ホル,人名,tier1
Taddeus Azaro,タデウス・アザロ,人名,tier1
Tarquin Soll,タルキン・ソル,人名,tier1
Taurus Holding,タウルス・ホールディング,ソードランドの組織,tier1
Terador,テラドール,リジアの地名,tier1
Territory of Zille,ジル領,国名（正式）,tier1
The Arcasian Treaty Organisation,アルカシア条約機構,国際機関・企業,tier1
The Confedaracy of Vendonesam,ヴェンドネサム連合,国名（正式）,tier1
The Contanan Security Pact,コンタナ条約機構,国際機関・企業,tier1
The Dome Economic Zone Authority,ドーム経済特区庁,国際機関・企業,tier1
The Ekonomists,エコノミスト誌,ソードランドの組織,tier1
The Golden Guard,近衛兵,リジアの組織,tier1
The Guild of Royal Allies,王室通商同盟ギルド,リジアの組織,tier1
The Guild of Royal Allies for Commercial Exchange,王室通商同盟ギルド,リジアの組織,tier1
The Halsecroft-Denwald Family,ハルスクロフト＝デンウォルド家,国際機関・企業,tier1
The Heart of Sordland Conglomerate,ハート・オブ・ソードランド財閥,ソードランドの組織,tier1
The Konstantium Defender,『コンスタンティウム・ディフェンダー』,国際機関・企業,tier1
The National Front Party,国民戦線党,ソードランドの組織,tier1
The Old Guard,守旧派,ソードランドの組織,tier1
The Oligarchs,財閥,ソードランドの組織,tier1
The Organization for Merkopan Economic Development,メルコパ経済開発機構,国際機関・企業,tier1
The People’s Freedom and Justice Party,人民自由正義党,ソードランドの組織,tier1
The Radical,『ラディカル』紙,ソードランドの組織,tier1
The Reformists,改革派,ソードランドの組織,tier1
The Surya Family,スーリヤ家,国際機関・企業,tier1
Titus Gordion,ティトゥス・ゴルディオン,人名,tier1
Topes,トペス,リジアの地名,tier1
Toras,トラス,姓,tier1
Tory,トーリー,姓,tier1
Totalism,全体主義,思想・宗教,tier1
Tranquil Sea,静穏海,ソードランドの地名,tier1
Tuomas Sacker,トゥオマス・サッカー,人名,tier1
Tusk,タスク,姓,tier1
Uncle Hugo,ウーゴ伯父,人名,tier1
Underhall Construction,アンダーホール建設,ソードランドの組織,tier1
United Sordland Party,統一ソードランド党,ソードランドの組織,tier1
Uziren,ウジレン,ソードランドの地名,tier1
Valenqir,ヴァレンキル,リジアの地名,tier1
Valenqiris Province,ヴァレンキリス州,リジアの地名,tier1
Valgen,ヴァルゲン,ソードランドの地名,tier1
Valgish,ヴァルグ人,国民・形容,tier1
Valgsland,ヴァルグスランド,国名（略称）,tier1
Valgslandian Socialism,ヴァルグスランド社会主義,思想・宗教,tier1
Valken Kruger,ヴァルケン・クルーガー,人名,tier1
Van Hoorten,ファン・ホールテン,姓,tier1
Vectern,ベクターン,姓,tier1
Vendonesam,ヴェンドネサム,国名（略称）,tier1
Ves Sea,ヴェス海,ソードランドの地名,tier1
Vesord,ヴェソード,ソードランドの地名,tier1
Vice President,副大統領,役職,tier1
Vina Toras,ヴィナ・トラス,人名,tier1
Voice of Rizia,『リジアの声』,リジアの組織,tier1
Walda,ワルダ,姓,tier1
Walker,ウォーカー,姓,tier1
Walter Tusk,ウォルター・タスク,人名,tier1
Watchtower of Human Rights,人権監視理事会,国際機関・企業,tier1
Wehlen,ヴェーレン,国名（略称）,tier1
Werner,ヴェルナー,姓,tier1
Wiktor Smolak,ヴィクトル・スモラク,人名,tier1
Wiktor Smolak (R),ヴィクトル・スモラク,人名,tier1
Wisci,ウィスキ,姓,tier1
Wizen,ウィゼン,ソードランドの地名,tier1
Wolkner,ヴォルクナー,姓,tier1
Worker's Party of Bludia,ブルディア労働者党,ソードランドの組織,tier1
World Peace Concord,世界平和協定,国際機関・企業,tier1
Wruhec,ヴルヘック,思想・宗教,tier1
Wruhec's Guardians,ヴルヘックの守護者,リジアの組織,tier1
Wruhecism,ヴルヘック教,思想・宗教,tier1
Yarktralis,ヤークトラリス,国名（略称）,tier1
Young Sords,ソード青年団,ソードランドの組織,tier1
Zaerland,ザエルランド,国名（略称）,tier1
Zanza,ザンザ,国名（略称）,tier1
Zaranism,ザラン主義,思想・宗教,tier1
Zaranurity,ザラヌリティ,思想・宗教,tier1
Zille,ジル,国名（略称）,tier1
Zille Province,ジル州,リジアの地名,tier1
Ziqes,ジケス,リジアの地名,tier1
Zpana,ズパナ,リジアの地名,tier1
Zpana River Canyon,ズパナ川渓谷,リジアの地名,tier1
oligarch,総帥,ソードランドの組織,tier1
Agriculture & Rural Dev. Minister,農業農村開発大臣,役職,tier2
Archpriest of Nurity,ヌーリティ大司祭,役職・肩書,tier2
Assembly,議会,事典カテゴリ,tier2
Boy,少年,役職・肩書,tier2
Business,経済界,事典カテゴリ,tier2
Butler of the King,王の執事,役職・肩書,tier2
CEO of HOS,HOS総帥,役職・肩書,tier2
CEO of Heart of Sordland,ハート・オブ・ソードランド総帥,役職・肩書,tier2
CEO of Rizian Royal Gold,リジア王室金鉱総帥,役職・肩書,tier2
Cabinet,内閣,事典カテゴリ,tier2
Captain of Wruhec's Guardians,ヴルヘック守護者隊長,役職・肩書,tier2
Captain of the Golden Guard,近衛兵隊長,役職・肩書,tier2
Centrists,中道派,役職・肩書,tier2
Chairman of Central Bank,中央銀行総裁,役職・肩書,tier2
Chairman of Gasom & Former President,ガソム会長・前大統領,役職・肩書,tier2
Chairman of United Contana,コンタナ議長,役職・肩書,tier2
Chairman of the NBC,全国経済評議会議長,役職・肩書,tier2
Chairwoman of the Central Bank,中央銀行総裁,役職・肩書,tier2
Chancellor of Valgsland,ヴァルグスランド書記長,役職・肩書,tier2
Chief Strategist,首席戦略官,役職・肩書,tier2
Chief of Police,警察長官,役職・肩書,tier2
Chief of the Armed Forces,軍総司令官,役職・肩書,tier2
Cities,都市,事典カテゴリ,tier2
Co-Chairman of NBC,全国経済評議会共同議長,役職・肩書,tier2
Corporations,企業,事典カテゴリ,tier2
Council,評議会,事典カテゴリ,tier2
Councillor of Foreign Affairs,外務評議官,役職・肩書,tier2
Councillor of Treasury,財務評議官,役職・肩書,tier2
Councillor of War and Security,軍事保安評議官,役職・肩書,tier2
Countess of Sallabes,サラベス伯爵夫人,役職・肩書,tier2
Countries,国家,事典カテゴリ,tier2
Daughter of the President,大統領令嬢,役職・肩書,tier2
Defense Minister,国防大臣,役職,tier2
Deputy of the NFP,国民戦線党議員,役職・肩書,tier2
Deputy of the PFJP,人民自由正義党議員,役職・肩書,tier2
Driver and Bodyguard,運転手兼護衛,役職・肩書,tier2
"Duke of Iza, son of Hugo Toras",イザ公・ウーゴ・トラスの息子,役職・肩書,tier2
Economy Minister,経済大臣,役職,tier2
Education Minister,教育大臣,役職,tier2
Factions,派閥,事典カテゴリ,tier2
Family,家族,事典カテゴリ,tier2
Family Head of House Sazon,サゾン家当主,役職・肩書,tier2
Film Director,映画監督,役職・肩書,tier2
First Secretary,第一書記,役職・肩書,tier2
Foreign Affairs & Trade Minister,外務通商大臣,役職,tier2
Foreign Affairs Councilor,外務評議官,役職,tier2
Foreign Leaders,外国首脳,事典カテゴリ,tier2
Former President,前大統領,役職・肩書,tier2
Former Presidents,歴代大統領,役職,tier2
Founder of the Republic,共和国建国者,役職・肩書,tier2
General of the Rizian Armed Forces,リジア軍将軍,役職・肩書,tier2
Girl,少女,役職・肩書,tier2
Governmental,政府機関,事典カテゴリ,tier2
Grand Wiscerer,教皇,役職,tier2
Head of House Azaro,アザロ家当主,役職,tier2
Head of House Sazon,サゾン家当主,役職,tier2
Head of House Toras,トラス家当主,役職,tier2
